date,playgroup_num,playgroup_name,num_victories,num_losses,num_deaths,level
2020-03-19 03:24:00+00:00,1,NC Reborn,3,0,0,Any
2020-03-23 15:30:00+00:00,1,NC Reborn,3,0,0,Any
2020-03-29 03:32:00+00:00,1,NC Reborn,3,0,0,Any
2020-04-06 03:20:00+00:00,1,NC Reborn,4,0,0,Any
2020-04-10 19:29:00+00:00,1,NC Reborn,3,0,0,Any
2020-04-17 04:19:00+00:00,1,NC Reborn,0,2,1,Any
2020-04-25 03:50:00+00:00,1,NC Reborn,4,0,0,Any
2020-05-01 03:38:00+00:00,1,NC Reborn,4,0,0,Any
2020-05-13 20:15:00+00:00,1,NC Reborn,4,0,0,Any
2020-05-21 00:33:00+00:00,1,NC Reborn,4,0,0,Any
2020-05-27 02:45:00+00:00,1,NC Reborn,4,0,0,Any
2020-06-04 17:30:00+00:00,1,NC Reborn,3,0,0,Any
2020-06-15 02:17:00+00:00,1,NC Reborn,4,0,0,Any
2020-06-18 18:57:00+00:00,1,NC Reborn,3,0,0,Any
2020-06-26 02:31:00+00:00,1,NC Reborn,3,0,0,Any
2020-07-10 02:27:00+00:00,1,NC Reborn,4,0,0,Any
2020-07-15 17:05:00+00:00,1,NC Reborn,3,0,1,Any
2020-07-22 03:32:00+00:00,1,NC Reborn,2,0,1,Any
2020-08-02 12:14:00+00:00,1,NC Reborn,3,0,0,Any
2020-08-11 01:10:00+00:00,1,NC Reborn,3,0,0,Any
2020-08-18 14:56:02.838143+00:00,1,NC Reborn,3,0,0,Any
2020-08-24 17:31:00+00:00,1,NC Reborn,0,1,1,Any
2020-09-05 14:55:53.259897+00:00,1,NC Reborn,3,0,0,Any
2020-09-14 14:16:00+00:00,1,NC Reborn,4,0,0,Any
2020-10-05 22:14:00+00:00,1,NC Reborn,2,0,0,Any
2020-11-03 02:03:00+00:00,1,NC Reborn,3,0,0,Any
2020-11-12 16:30:00+00:00,1,NC Reborn,3,0,0,Any
2020-12-03 17:36:00+00:00,1,NC Reborn,3,0,0,Any
2020-12-09 20:00:00+00:00,7,Copps Hill agency,2,0,0,Any
2020-12-10 09:07:00+00:00,1,NC Reborn,4,0,0,Any
2020-12-28 14:07:00+00:00,1,NC Reborn,3,0,0,Any
2021-01-02 20:15:52.701512+00:00,13,Maelstrom,7,0,0,Any
2021-01-07 00:00:00+00:00,7,Copps Hill agency,2,0,0,Any
2021-01-08 02:00:00+00:00,1,NC Reborn,4,0,0,Any
2021-01-09 21:12:59.634834+00:00,8,Anaheim Cell,5,0,0,Newbie
2021-01-10 21:57:00+00:00,13,Maelstrom,2,0,0,Any
2021-01-15 01:30:00+00:00,13,Maelstrom,4,0,0,Any
2021-01-20 20:53:55.421139+00:00,13,Maelstrom,4,0,0,Newbie
2021-01-23 02:45:27.952062+00:00,13,Maelstrom,4,0,1,Any
2021-01-24 06:34:24.490994+00:00,13,Maelstrom,0,4,0,Newbie
2021-01-24 18:00:00+00:00,13,Maelstrom,3,0,0,Any
2021-01-24 22:12:30.478530+00:00,13,Maelstrom,4,0,0,Any
2021-01-26 05:57:41.272358+00:00,13,Maelstrom,1,0,0,Any
2021-01-27 04:34:00+00:00,13,Maelstrom,0,0,1,Any
2021-01-29 08:25:04.171904+00:00,13,Maelstrom,5,0,0,Any
2021-01-30 20:16:52.341639+00:00,13,Maelstrom,2,0,1,Any
2021-01-31 06:12:00+00:00,19,a,1,0,0,Any
2021-02-01 06:30:20.403394+00:00,13,Maelstrom,4,0,1,Newbie
2021-02-03 17:44:44.116876+00:00,13,Maelstrom,2,0,0,Any
2021-02-05 01:43:50.669082+00:00,13,Maelstrom,2,0,1,Any
2021-02-06 01:33:57.440216+00:00,13,Maelstrom,3,0,0,Any
2021-02-07 02:30:00+00:00,13,Maelstrom,2,0,1,Any
2021-02-07 23:07:10.102324+00:00,22,Blanche,3,0,0,Newbie
2021-02-14 02:22:11.251848+00:00,13,Maelstrom,4,0,1,Newbie
2021-02-15 02:18:51.189579+00:00,22,Blanche,2,2,0,Any
2021-02-16 04:36:05.560364+00:00,26,The Buisness,3,0,0,Any
2021-02-16 22:08:49.361047+00:00,13,Maelstrom,1,1,0,Novice
2021-02-17 21:53:56.452473+00:00,27,temp,2,0,0,Any
2021-02-18 03:22:33.594818+00:00,13,Maelstrom,3,1,0,Novice
2021-02-19 03:54:55.157396+00:00,25,Ignore this,4,1,0,Any
2021-02-19 21:37:07.045777+00:00,27,temp,2,0,0,Any
2021-02-20 04:37:08.976977+00:00,13,Maelstrom,6,0,0,Any
2021-02-20 18:10:39.204509+00:00,13,Maelstrom,2,0,0,Any
2021-02-22 02:28:52.255211+00:00,26,The Buisness,4,0,2,Any
2021-02-22 03:01:14.903980+00:00,20,The Mythos,2,0,0,Newbie
2021-02-25 01:51:30.305043+00:00,20,The Mythos,4,0,0,Any
2021-02-26 04:47:00+00:00,13,Maelstrom,4,0,0,Novice
2021-02-27 03:54:29.364234+00:00,13,Maelstrom,3,1,1,Any
2021-02-28 04:12:14.254447+00:00,22,Blanche,4,0,1,Newbie
2021-02-28 21:03:47.908791+00:00,28,Dark Mirror,0,1,2,Novice
2021-03-01 00:53:34.729654+00:00,22,Blanche,2,0,1,Newbie
2021-03-02 05:18:00+00:00,28,Dark Mirror,5,1,0,Novice
2021-03-03 01:35:00+00:00,23,The New Columbia Minerals Group LLC,4,3,0,Any
2021-03-03 03:30:25.708728+00:00,26,The Buisness,4,1,0,Any
2021-03-04 04:07:34.509333+00:00,28,Dark Mirror,3,0,0,Novice
2021-03-04 05:17:33.692488+00:00,13,Maelstrom,5,0,2,Any
2021-03-06 03:43:58.372210+00:00,13,Maelstrom,3,0,1,Any
2021-03-07 01:36:45.871462+00:00,22,Blanche,3,1,0,Any
2021-03-07 21:27:31.807919+00:00,26,The Buisness,3,1,0,Newbie
2021-03-08 03:05:35+00:00,13,Maelstrom,1,5,0,Novice
2021-03-08 04:37:50.220572+00:00,28,Dark Mirror,4,0,0,Novice
2021-03-10 04:12:47.987599+00:00,13,Maelstrom,3,2,2,Novice
2021-03-12 22:02:05.054138+00:00,13,Maelstrom,4,2,0,Novice
2021-03-13 06:07:56.514199+00:00,28,Dark Mirror,3,0,0,Novice
